Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,617,232,0.7267373380447585,0.2732626619552415
CYCLE,666,242,0.7334801762114538,0.2665198237885462
FAN-IN,734,213,0.7750791974656811,0.2249208025343189
FAN-OUT,553,426,0.5648621041879469,0.4351378958120531
GATHER-SCATTER,1494,555,0.7291361639824304,0.2708638360175696
RANDOM,480,201,0.7048458149779736,0.2951541850220264
SCATTER-GATHER,1510,541,0.7362262311067772,0.2637737688932228
STACK,1322,493,0.7283746556473829,0.2716253443526171
