Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,181,1208,0.1303095752339813,0.8696904247660187
CYCLE,215,1273,0.14448924731182797,0.855510752688172
FAN-IN,793,940,0.4575879976918638,0.5424120023081362
FAN-OUT,311,1004,0.23650190114068442,0.7634980988593156
GATHER-SCATTER,1037,2010,0.3403347554972104,0.6596652445027896
RANDOM,145,1000,0.12663755458515283,0.8733624454148472
SCATTER-GATHER,1166,2239,0.34243759177679883,0.6575624082232012
STACK,428,2396,0.15155807365439095,0.8484419263456091
