Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,1108,281,0.7976961843052556,0.20230381569474443
CYCLE,1228,260,0.8252688172043011,0.17473118279569888
FAN-IN,1581,152,0.9122908251586843,0.08770917484131568
FAN-OUT,1083,232,0.823574144486692,0.17642585551330803
GATHER-SCATTER,2763,284,0.9067935674433869,0.0932064325566131
RANDOM,965,180,0.8427947598253275,0.15720524017467252
SCATTER-GATHER,2930,475,0.8604992657856094,0.13950073421439058
STACK,2323,501,0.8225920679886686,0.17740793201133143
