Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,226,412,0.3542319749216301,0.64576802507837
CYCLE,233,437,0.34776119402985073,0.6522388059701493
FAN-IN,511,793,0.3918711656441718,0.6081288343558282
FAN-OUT,700,408,0.631768953068592,0.36823104693140796
GATHER-SCATTER,1005,1174,0.4612207434603029,0.5387792565396972
RANDOM,189,343,0.35526315789473684,0.6447368421052632
SCATTER-GATHER,954,1362,0.4119170984455959,0.5880829015544041
STACK,582,915,0.38877755511022044,0.6112224448897796
