Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,388,250,0.6081504702194357,0.3918495297805643
CYCLE,429,241,0.6402985074626866,0.3597014925373134
FAN-IN,1065,239,0.816717791411043,0.18328220858895705
FAN-OUT,530,578,0.47833935018050544,0.5216606498194946
GATHER-SCATTER,1675,504,0.7687012391005048,0.2312987608994952
RANDOM,338,194,0.6353383458646616,0.36466165413533835
SCATTER-GATHER,1681,635,0.7258203799654577,0.2741796200345423
STACK,1003,494,0.6700066800267201,0.32999331997327985
