Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,311,538,0.3663133097762073,0.6336866902237928
CYCLE,342,566,0.3766519823788546,0.6233480176211454
FAN-IN,547,400,0.5776135163674763,0.42238648363252373
FAN-OUT,565,414,0.5771195097037793,0.42288049029622066
GATHER-SCATTER,1205,844,0.5880917520741825,0.4119082479258175
RANDOM,265,416,0.3891336270190896,0.6108663729809104
SCATTER-GATHER,1158,893,0.5646026328620185,0.4353973671379815
STACK,739,1076,0.4071625344352617,0.5928374655647384
