Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,751,352,0.6808703535811423,0.31912964641885766
CYCLE,828,265,0.757548032936871,0.242451967063129
FAN-IN,823,312,0.7251101321585903,0.2748898678414097
FAN-OUT,873,332,0.7244813278008299,0.27551867219917014
GATHER-SCATTER,1714,759,0.6930853214718965,0.3069146785281035
RANDOM,599,269,0.6900921658986175,0.30990783410138245
SCATTER-GATHER,1875,528,0.7802746566791511,0.21972534332084892
STACK,1620,601,0.7294011706438541,0.2705988293561459
