Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,15,1088,0.013599274705349048,0.986400725294651
CYCLE,9,1084,0.008234217749313814,0.9917657822506862
FAN-IN,19,1116,0.016740088105726872,0.9832599118942731
FAN-OUT,33,1172,0.027385892116182572,0.9726141078838174
GATHER-SCATTER,57,2416,0.023048928427011728,0.9769510715729883
RANDOM,11,857,0.012672811059907835,0.9873271889400922
SCATTER-GATHER,44,2359,0.018310445276737412,0.9816895547232626
STACK,29,2192,0.013057181449797388,0.9869428185502026
