Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,9,1094,0.008159564823209429,0.9918404351767905
CYCLE,8,1085,0.007319304666056725,0.9926806953339433
FAN-IN,14,1121,0.012334801762114538,0.9876651982378855
FAN-OUT,13,1192,0.010788381742738589,0.9892116182572614
GATHER-SCATTER,17,2456,0.006874241811564901,0.9931257581884351
RANDOM,9,859,0.010368663594470046,0.9896313364055299
SCATTER-GATHER,33,2370,0.01373283395755306,0.9862671660424469
STACK,10,2211,0.004502476361999099,0.9954975236380009
