Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,6,1097,0.005439709882139619,0.9945602901178604
CYCLE,3,1090,0.0027447392497712718,0.9972552607502287
FAN-IN,1,1134,0.000881057268722467,0.9991189427312775
FAN-OUT,4,1201,0.0033195020746887966,0.9966804979253112
GATHER-SCATTER,14,2459,0.005661140315406389,0.9943388596845936
RANDOM,2,866,0.002304147465437788,0.9976958525345622
SCATTER-GATHER,5,2398,0.0020807324178110697,0.997919267582189
STACK,2,2219,0.0009004952723998199,0.9990995047276002
