Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,257,229,0.5288065843621399,0.4711934156378601
CYCLE,306,210,0.5930232558139535,0.40697674418604646
FAN-IN,326,188,0.6342412451361867,0.36575875486381326
FAN-OUT,202,348,0.36727272727272725,0.6327272727272728
GATHER-SCATTER,740,570,0.5648854961832062,0.43511450381679384
RANDOM,213,196,0.5207823960880196,0.4792176039119804
SCATTER-GATHER,635,458,0.5809698078682525,0.4190301921317475
STACK,575,485,0.5424528301886793,0.4575471698113207
