Laundering Type,Correct,False,Correct_percent,False_percent
BIPARTITE,189,297,0.3888888888888889,0.6111111111111112
CYCLE,206,310,0.3992248062015504,0.6007751937984496
FAN-IN,286,228,0.556420233463035,0.44357976653696496
FAN-OUT,343,207,0.6236363636363637,0.37636363636363634
GATHER-SCATTER,795,515,0.6068702290076335,0.39312977099236646
RANDOM,189,220,0.4621026894865526,0.5378973105134475
SCATTER-GATHER,663,430,0.6065873741994511,0.3934126258005489
STACK,455,605,0.42924528301886794,0.570754716981132
